seed,norm,cooperation,fairness
1,0,0.073668,0.9480919991513749
2,0,0.0739204,0.9427297130244504
3,0,0.0735404,0.9478469282288077
4,0,0.073707,0.9350014665947561
5,0,0.0737228,0.9277737224791622
6,0,0.0734008,0.9333119581501739
7,0,0.0736522,0.9385410105052338
8,0,0.0732434,0.9579920166439932
9,0,0.0738928,0.9445304786485963
10,0,0.0734484,0.9554668778409622
1,150,0.8746838,0.9990052863745245
2,150,0.8703614,0.9996081625606118
3,150,0.8741278,0.9991865286133145
4,150,0.8740064,0.9981968522278907
5,150,0.8738956,0.9982347079581052
6,150,0.87363,0.9937617396357558
7,150,0.8744784,0.998299719855217
8,150,0.8743754,0.994604406649134
9,150,0.8742228,0.9970300318986535
10,150,0.8759052,0.9961875794113395
1,192,0.1730944,0.9936344062596754
2,192,0.1760274,0.9856369141151514
3,192,0.1736472,0.9997901632632172
4,192,0.1713614,0.9969971018591326
5,192,0.1826488,0.9938583500304904
6,192,0.1682794,0.9853175015387519
7,192,0.173709,0.989926866075702
8,192,0.1736514,0.9984115721369877
9,192,0.1785514,0.9942704545748452
10,192,0.1799866,0.9974456130323418
1,195,0.8736412,0.9996059897691822
2,195,0.0760596,0.9596561963862703
3,195,0.0756896,0.9757054429342112
4,195,0.8727978,0.9981569419078193
5,195,0.8735576,0.9994612360892455
6,195,0.8745384,0.9935632735503215
7,195,0.8734002,0.9972048689019387
8,195,0.8746978,0.9955257901288553
9,195,0.875602,0.9962015885055531
10,195,0.8754782,0.9937053541229792
1,243,0.0756628,0.9414862011506513
2,243,0.0755312,0.9423814128790696
3,243,0.074458,0.952258630451396
4,243,0.0745554,0.9354743615659321
5,243,0.0748058,0.9349833992763052
6,243,0.074313,0.9277055998687845
7,243,0.074949,0.951479802233054
8,243,0.0741666,0.9510063472514604
9,243,0.0754496,0.9520504621227208
10,243,0.074572,0.9688192608082661
