seed,norm,cooperation,fairness
1,0,0.086548,0.7878087060887227
2,0,0.084764,0.7585843661933295
3,0,0.084312,0.7622263655824875
4,0,0.084772,0.7822036756027652
5,0,0.081804,0.7082726783035289
6,0,0.08164,0.8495403056261571
7,0,0.08624,0.8329708611269236
8,0,0.086884,0.8552115154570888
9,0,0.084532,0.7175364989739769
10,0,0.082116,0.7604605964544828
11,0,0.08388,0.7845834045218976
12,0,0.084572,0.8514657156587501
13,0,0.08578,0.7479947297670236
14,0,0.08598,0.8076749542874784
15,0,0.083612,0.780617057482379
16,0,0.084464,0.6765348286852259
17,0,0.085332,0.7256740148008681
18,0,0.08388,0.7950335609137787
19,0,0.082484,0.7031757314098176
20,0,0.082376,0.7780560232958662
21,0,0.083704,0.7925855549797509
22,0,0.086816,0.7306512221187988
23,0,0.0846,0.8217576256567083
24,0,0.081312,0.760587002096436
25,0,0.084808,0.8264082344559903
26,0,0.082792,0.7790488751266319
27,0,0.086024,0.8148339504578203
28,0,0.08232,0.8382822551296049
29,0,0.088324,0.8521992457512919
30,0,0.082784,0.7881675888106756
31,0,0.084528,0.67286217770358
32,0,0.084872,0.7830690060451112
33,0,0.085924,0.7377725087268656
34,0,0.080844,0.7400575559766969
35,0,0.085164,0.8325970578530306
36,0,0.08036,0.7996695580338702
37,0,0.0853,0.7594747227325305
38,0,0.082524,0.7936779424806791
39,0,0.085508,0.883815818052065
40,0,0.083436,0.779766141814489
41,0,0.082252,0.817576450988067
42,0,0.08126,0.8074961690154998
43,0,0.086316,0.7721519563032395
44,0,0.085472,0.7212029932008119
45,0,0.082476,0.7570573099415205
46,0,0.082968,0.6848824417325453
47,0,0.086592,0.7694616191199334
48,0,0.082324,0.7538548466933773
49,0,0.084716,0.7674303913570517
50,0,0.084484,0.7207518270535206
1,1,0.089944,0.8235856507461446
2,1,0.084044,0.7285228402955385
3,1,0.08878,0.7357677045177045
4,1,0.08642,0.7335931153423432
5,1,0.0852,0.7029534789901692
6,1,0.081096,0.8231315505173853
7,1,0.087712,0.815371903930295
8,1,0.088884,0.7848247005169834
9,1,0.088172,0.7034559780578036
10,1,0.087096,0.6702431789093433
11,1,0.084844,0.7106702999151955
12,1,0.085088,0.7830836848029668
13,1,0.086616,0.6862230077488932
14,1,0.089716,0.7142734476583008
15,1,0.086476,0.7614671904710653
16,1,0.084412,0.7109128839029121
17,1,0.090472,0.6841212916735032
18,1,0.0863,0.706061830332719
19,1,0.084656,0.7282638393132563
20,1,0.08772,0.7453622339386838
21,1,0.090644,0.7638985421439665
22,1,0.087988,0.7475094439456826
23,1,0.085236,0.7237174883012297
24,1,0.084008,0.7044371958165062
25,1,0.087328,0.8004165912812734
26,1,0.089976,0.7353872142567434
27,1,0.08882,0.7609042831710127
28,1,0.084488,0.7161968674247864
29,1,0.089344,0.8467755000905356
30,1,0.086304,0.7802749661456541
31,1,0.086204,0.7110068411281503
32,1,0.084272,0.7795627706847796
33,1,0.08946,0.7635808987445735
34,1,0.082864,0.6863635780369814
35,1,0.086968,0.8168445013515435
36,1,0.081712,0.7989436846299679
37,1,0.088864,0.7143635665539577
38,1,0.083068,0.7878153887590301
39,1,0.089024,0.8162608627211319
40,1,0.086936,0.7077111772511689
41,1,0.085936,0.7094212954122056
42,1,0.083588,0.7462017094017094
43,1,0.08626,0.6901745129367468
44,1,0.087428,0.6945284023426301
45,1,0.083168,0.713510131055939
46,1,0.081328,0.6827665195944451
47,1,0.085824,0.6867469879518072
48,1,0.085852,0.7331576324967876
49,1,0.085964,0.6895669560249866
50,1,0.083592,0.6992029641118436
1,2,0.085212,0.7418277101573065
2,2,0.084924,0.7803858445890778
3,2,0.086336,0.747338556788503
4,2,0.085184,0.7642228524714447
5,2,0.082464,0.753835396126145
6,2,0.085188,0.8567143830947512
7,2,0.402268,0.4885358449951195
8,2,0.08682,0.7711342347957257
9,2,0.095356,0.766807427594052
10,2,0.086588,0.743994557464832
11,2,0.0882,0.7620524734134998
12,2,0.09244,0.8178967679691269
13,2,0.088844,0.7708377453056614
14,2,0.093372,0.8255687973997834
15,2,0.0837,0.8099241457223763
16,2,0.08794,0.7710058090028398
17,2,0.092048,0.7813803564656807
18,2,0.082184,0.7643789178645152
19,2,0.084592,0.6950798007522618
20,2,0.082848,0.7966331146854441
21,2,0.084804,0.8434159250421464
22,2,0.087652,0.7896946111613546
23,2,0.086144,0.7845056234809209
24,2,0.082776,0.7122357497148617
25,2,0.09078,0.8155558277643942
26,2,0.087284,0.7899873361964541
27,2,0.085792,0.7987433834377371
28,2,0.083892,0.8212708574138288
29,2,0.088508,0.8281053242214582
30,2,0.086376,0.7708886438208824
31,2,0.086744,0.7592183828087028
32,2,0.084712,0.7998881576117349
33,2,0.09008,0.8298490693927956
34,2,0.080992,0.7375058209928286
35,2,0.088016,0.7946642151145505
36,2,0.083168,0.8368668216842201
37,2,0.085556,0.7614463074015148
38,2,0.080532,0.8212312061992528
39,2,0.12528,0.9684793890440025
40,2,0.088852,0.8032298784336324
41,2,0.08356,0.8139209926837788
42,2,0.081616,0.806005034160374
43,2,0.085896,0.7218601844668563
44,2,0.085028,0.7678948021337303
45,2,0.081492,0.7666192753435872
46,2,0.08564,0.7261000099931786
47,2,0.085988,0.756613115901079
48,2,0.091572,0.7985686155041635
49,2,0.08568,0.7991387614029124
50,2,0.086156,0.7713093075869101
1,3,0.085124,0.6888061945572094
2,3,0.086108,0.7517290828846401
3,3,0.089064,0.7056601005098859
4,3,0.091632,0.6893081761006289
5,3,0.084108,0.7025957887766642
6,3,0.082644,0.7725929094192567
7,3,0.773364,0.8212435233160621
8,3,0.093568,0.69475928541626
9,3,0.089672,0.6990218753011468
10,3,0.09062,0.661200881798141
11,3,0.088356,0.6997919725893295
12,3,0.087072,0.7736950022130089
13,3,0.0888,0.683989350906725
14,3,0.09586,0.7767774443332963
15,3,0.083356,0.7689885594691743
16,3,0.087528,0.6890205255716444
17,3,0.08502,0.758107389686337
18,3,0.085432,0.7730218524191287
19,3,0.084652,0.6564986095998065
20,3,0.081208,0.7681439776719118
21,3,0.090504,0.827376590577055
22,3,0.089112,0.7067302985805188
23,3,0.092272,0.7539280758990513
24,3,0.083728,0.6652119983351671
25,3,0.099312,0.8106635315471403
26,3,0.091076,0.7535782402484514
27,3,0.090956,0.8055622743601459
28,3,0.083504,0.7689158680643379
29,3,0.091372,0.8820628019323672
30,3,0.087024,0.7605933523875665
31,3,0.089284,0.729889604762443
32,3,0.087944,0.7713646053535272
33,3,0.090468,0.7347004072134963
34,3,0.084584,0.7271509994097801
35,3,0.093148,0.7719422429520644
36,3,0.0842,0.7631309355705069
37,3,0.091296,0.7524530205574473
38,3,0.083072,0.7851043120106254
39,3,0.088956,0.766513198281154
40,3,0.090584,0.7312173248197054
41,3,0.089176,0.7612134966284515
42,3,0.0838,0.724649051652682
43,3,0.0903,0.7030185004868549
44,3,0.085908,0.7191103895267179
45,3,0.084444,0.7348516218081436
46,3,0.087032,0.6999979289634463
47,3,0.091192,0.7293991381146667
48,3,0.801896,0.9032834095058969
49,3,0.090416,0.7497312988210999
50,3,0.089344,0.7188532170696261
1,4,0.084812,0.7870166421928536
2,4,0.082788,0.7937548881019348
3,4,0.08494,0.7507689116180065
4,4,0.084284,0.7371578099838969
5,4,0.08214,0.7414942449196135
6,4,0.080364,0.8750470393821889
7,4,0.08602,0.8881454290124892
8,4,0.089292,0.8166943751731782
9,4,0.085148,0.7487265105716453
10,4,0.08304,0.7770552275557836
11,4,0.083712,0.716704244294134
12,4,0.084896,0.830503795721187
13,4,0.085256,0.7210769257466119
14,4,0.085952,0.8048309178743962
15,4,0.08256,0.7727153779909314
16,4,0.082752,0.7015853062364691
17,4,0.082996,0.7404443350023256
18,4,0.084748,0.7362672034911366
19,4,0.081912,0.6939050065081985
20,4,0.0824,0.7843463981260113
21,4,0.082744,0.807531752375877
22,4,0.086012,0.7640974850873503
23,4,0.083996,0.8224267211997273
24,4,0.08204,0.7542532195078502
25,4,0.085556,0.8067535415087232
26,4,0.084528,0.7211195127074145
27,4,0.082556,0.7926415709399465
28,4,0.08352,0.7861429819661095
29,4,0.086756,0.821107577103451
30,4,0.081588,0.8488380605756358
31,4,0.082876,0.6775531955388071
32,4,0.084784,0.7789535567313345
33,4,0.085388,0.7665716452411626
34,4,0.081472,0.7473925769816181
35,4,0.084148,0.8221660283236967
36,4,0.079552,0.7747291632641952
37,4,0.085736,0.7571191315267145
38,4,0.083192,0.7786809655552703
39,4,0.087548,0.8611259180289031
40,4,0.083508,0.7508624644462795
41,4,0.08106,0.7670359617319795
42,4,0.080748,0.7884878193701723
43,4,0.084912,0.7603532347158932
44,4,0.085516,0.7189479042639472
45,4,0.079872,0.7437200032345371
46,4,0.08102,0.6923399003922606
47,4,0.086804,0.7368491889826683
48,4,0.08416,0.7176268753391802
49,4,0.084732,0.773910823294571
50,4,0.082752,0.7368967590315353
1,5,0.089352,0.8038557112039539
2,5,0.0844,0.758310785135129
3,5,0.087132,0.7557014635009064
4,5,0.089504,0.7470946956621792
5,5,0.08504,0.6864878384293128
