n_seeded_agents,cooperation_mean,fairness_mean
0,0.8454416,0.9835039563279381
2,0.6993832,0.9024895889039737
4,0.8492868,0.9807925154400504
6,0.7778748000000001,0.9456334838824985
8,0.8545324000000001,0.9766232599654028
10,0.8578167999999999,0.9817769187028021
12,0.8619688,0.9819784004698195
14,0.8609872,0.9857796883001658
16,0.8625576,0.9798457959545136
18,0.8635632000000001,0.9817509798955537
20,0.8640876000000001,0.9817487799575426
22,0.8645100000000001,0.9846193768366781
24,0.8649712,0.983071251425778
26,0.867432,0.989057968621777
28,0.8664768,0.9918144153147163
30,0.8661660000000001,0.9870275217900097
32,0.8676144000000001,0.989583626502845
34,0.8690412000000001,0.9928485483623692
36,0.8691715999999999,0.9927972270871785
38,0.8703212,0.9950656490158518
40,0.8691659999999999,0.9933615610458334
42,0.8707932000000002,0.9938162992525585
44,0.8698636000000001,0.9909327377521256
46,0.8703088000000001,0.9916366037700483
48,0.8712660000000001,0.9914535658997051
50,0.8700412,0.9933913418648764
