n_seeded_agents,cooperation_mean,fairness_mean
0,0.11778223999999998,0.6656721013850934
2,0.14660143999999997,0.6803102129124216
4,0.26800504,0.7313442209742448
6,0.548638,0.8565097259835253
8,0.6586470399999999,0.9067672282229221
10,0.6769216,0.9139089646246427
12,0.8105222400000003,0.968687334150524
14,0.8278792800000001,0.9770976755812886
16,0.8121507199999999,0.9692683661315854
18,0.83170848,0.9730235129703353
20,0.8311865599999999,0.9790336005912382
22,0.8332743999999996,0.9808365394470634
24,0.8329790400000001,0.9784255093579887
26,0.8353409599999999,0.9823632185261942
28,0.8362742400000001,0.9823914462052454
30,0.8362451200000001,0.9818744263895806
32,0.8373851199999999,0.9840842876221692
34,0.8385492000000002,0.9867118253005804
36,0.8378813599999999,0.9859921863303762
38,0.8380582399999997,0.9865120904602898
40,0.8392387199999998,0.9859931709399956
42,0.8395660000000003,0.98591585695225
44,0.8396975199999999,0.9845147136659688
46,0.8412316000000001,0.9855813311109424
48,0.8406475999999998,0.9834091039708511
50,0.8417508800000002,0.985157341392268
