seed,norm,cooperation,fairness
1,195,0.089888,0.7226055914191256
2,195,0.093896,0.8266110955760617
3,195,0.836412,0.9385887806595471
4,195,0.09004,0.7042027358228596
5,195,0.850396,0.984310262657138
6,195,0.091324,0.7711781805378436
7,195,0.853728,0.9596624267413142
8,195,0.856528,0.9681565048476732
9,195,0.847132,0.9532942421548808
10,195,0.853524,0.9590381994762303
11,195,0.841772,0.9661321074076477
12,195,0.845988,0.9852167851243425
13,195,0.854156,0.9741423752270565
14,195,0.817112,0.9601258309877467
15,195,0.856988,0.9797615761507142
16,195,0.847812,0.9723121586722939
17,195,0.854272,0.980987724412011
18,195,0.851968,0.949045915651666
19,195,0.85514,0.987763730115701
20,195,0.849916,0.9892445034136556
21,195,0.093188,0.7881439164876074
22,195,0.204208,0.8009617959845373
23,195,0.857424,0.9648509419148672
24,195,0.089296,0.733087951058001
25,195,0.099584,0.7023507415273466
26,195,0.847716,0.9662507445841301
27,195,0.852844,0.9789449415914108
28,195,0.091348,0.7212927525666727
29,195,0.853872,0.9534062290429632
30,195,0.805976,0.9379428640321793
31,195,0.852496,0.9949693107194508
32,195,0.859652,0.9620202674553286
33,195,0.857016,0.9676261017498194
34,195,0.089348,0.7209928972333979
35,195,0.08896,0.7473772699589113
36,195,0.8435,0.9586138179765928
37,195,0.840416,0.9601813365670829
38,195,0.856284,0.9650877848337691
39,195,0.83486,0.9790660501092592
40,195,0.854324,0.9556778238921614
41,195,0.820084,0.9511636965041167
42,195,0.089784,0.7075183064460572
43,195,0.818204,0.9676286995170383
44,195,0.8344,0.9736265500599718
45,195,0.085868,0.7223969455769106
46,195,0.845592,0.9865673408852187
47,195,0.864004,0.9790171261179715
48,195,0.856284,0.9719131913513401
49,195,0.849628,0.9632664288527021
50,195,0.845948,0.9565752367313063
1,243,0.088988,0.7714261786381748
2,243,0.092748,0.7487813420689371
3,243,0.08704,0.6585822142045834
4,243,0.08812,0.7192382914745434
5,243,0.082804,0.7111402393814215
6,243,0.08584,0.7859335739200304
7,243,0.091076,0.740225587337197
8,243,0.092576,0.7769932634092266
9,243,0.093552,0.6971833419733886
10,243,0.085816,0.7237723383187835
11,243,0.087184,0.7538095238095238
12,243,0.088668,0.7896935052738043
13,243,0.081948,0.7272487530293317
14,243,0.086156,0.7591515151515152
15,243,0.086916,0.7236564647628804
16,243,0.08758,0.6841453177716436
17,243,0.083328,0.7428693758938901
18,243,0.08762,0.7257241578375442
19,243,0.101312,0.7067918178132278
20,243,0.088308,0.7608427575250909
21,243,0.088476,0.7270155229686889
22,243,0.087336,0.739122533748702
23,243,0.087804,0.7277699222515213
24,243,0.086876,0.690535070559431
25,243,0.087468,0.7758443525053406
26,243,0.086644,0.7629507079511115
27,243,0.083852,0.7233035686643934
28,243,0.087228,0.7070707070707071
29,243,0.088744,0.80275798309328
30,243,0.090096,0.7556299517280008
31,243,0.088412,0.7130741376024394
32,243,0.08774,0.7618889684877109
33,243,0.093852,0.7471761918116676
34,243,0.082648,0.786066483330921
35,243,0.086556,0.7170174767189692
36,243,0.090536,0.734008745509007
37,243,0.087068,0.7585253251653572
38,243,0.08648,0.7548319337080502
39,243,0.093572,0.8257331019445556
40,243,0.091696,0.7183566314079757
41,243,0.086336,0.7722119909965214
42,243,0.101008,0.736869009107835
43,243,0.085884,0.6903446559661566
44,243,0.086164,0.6928075304264891
45,243,0.091628,0.7014531824577585
46,243,0.086828,0.6932689378031408
47,243,0.18554,0.9188884447799934
48,243,0.08542,0.7596330275229358
49,243,0.0922,0.726431129359802
50,243,0.08626,0.7044166277989974
1,192,0.127832,0.9589350952774245
2,192,0.116488,0.9522012884799506
3,192,0.120036,0.9072823459764785
4,192,0.093688,0.777229934174484
5,192,0.130872,0.9608018725405614
6,192,0.13096,0.9746846637703268
7,192,0.118876,0.9685590189477424
8,192,0.103864,0.9042169564575132
9,192,0.10682,0.8307313097113478
10,192,0.096076,0.764184978681535
11,192,0.1538,0.9848612971778037
12,192,0.113,0.9171337749629952
13,192,0.106368,0.8224000873723545
14,192,0.10228,0.839587877586093
15,192,0.112264,0.860333283336987
